image_name,xmin,xmax,ymin,ymax,class_id
roadmark_1015.jpg,149,175,157,167,1
roadmark_1264.jpg,154,218,160,202,2
roadmark_0799.jpg,18,83,149,166,1
roadmark_1275.jpg,195,221,154,167,3
roadmark_0872.jpg,92,132,146,164,1
roadmark_0348.jpg,87,128,164,185,1
roadmark_0359.jpg,96,132,162,181,1
roadmark_0467.jpg,154,177,156,164,1
roadmark_1423.jpg,138,178,154,178,3
roadmark_0777.jpg,156,180,147,153,1
roadmark_0133.jpg,176,200,150,166,3
roadmark_1165.jpg,136,163,160,175,3
roadmark_0770.jpg,38,71,164,180,1
roadmark_1333.jpg,113,139,156,170,1
roadmark_1022.jpg,147,176,158,168,1
roadmark_1154.jpg,78,114,164,188,1
roadmark_0838.jpg,0,50,154,174,1
roadmark_0770.jpg,122,143,148,156,1
roadmark_0474.jpg,136,166,162,174,1
roadmark_0802.jpg,302,338,144,158,2
roadmark_0058.jpg,274,326,172,202,2
roadmark_0411.jpg,124,160,156,174,1
roadmark_0133.jpg,117,150,153,168,3
roadmark_0933.jpg,159,178,150,160,1
roadmark_0584.jpg,52,86,171,185,1
roadmark_0466.jpg,126,153,164,176,1
roadmark_1004.jpg,159,182,154,162,1
roadmark_1103.jpg,186,208,164,185,3
roadmark_0813.jpg,122,140,145,152,1
roadmark_0037.jpg,244,276,152,168,2
roadmark_0854.jpg,146,159,140,146,1
roadmark_0739.jpg,98,116,161,169,1
roadmark_0595.jpg,115,141,156,166,1
roadmark_0271.jpg,0,58,160,180,1
roadmark_0943.jpg,147,174,154,166,1
roadmark_0097.jpg,188,220,154,186,3
roadmark_0886.jpg,55,88,154,170,1
roadmark_0881.jpg,22,102,150,182,1
roadmark_0573.jpg,126,144,156,164,1
roadmark_1319.jpg,52,84,160,178,1
roadmark_0366.jpg,152,176,148,158,1
roadmark_0857.jpg,138,158,142,148,1
roadmark_0856.jpg,99,120,148,158,1
roadmark_0019.jpg,114,146,156,170,1
roadmark_1114.jpg,206,224,153,160,1
roadmark_0098.jpg,189,218,150,180,3
roadmark_0658.jpg,178,222,160,176,2
roadmark_0786.jpg,116,136,144,153,1
roadmark_0141.jpg,167,200,154,186,3
roadmark_0640.jpg,104,124,157,167,1
roadmark_0135.jpg,108,149,149,171,3
roadmark_0922.jpg,154,183,154,166,1
roadmark_0028.jpg,170,216,166,183,1
roadmark_0515.jpg,112,136,160,167,1
roadmark_0139.jpg,88,144,153,178,3
roadmark_0263.jpg,14,90,154,176,1
roadmark_0931.jpg,163,183,150,157,1
roadmark_0510.jpg,130,147,156,164,1
roadmark_0610.jpg,144,168,160,170,1
roadmark_0646.jpg,138,166,159,169,1
roadmark_1347.jpg,135,168,149,161,1
roadmark_1152.jpg,121,148,162,180,3
roadmark_1289.jpg,113,139,153,163,1
roadmark_0801.jpg,196,208,136,144,3
roadmark_1315.jpg,98,122,153,162,1
roadmark_0740.jpg,128,148,152,161,1
roadmark_0117.jpg,113,160,153,188,1
roadmark_1035.jpg,144,175,156,168,1
roadmark_0855.jpg,104,123,148,157,1
roadmark_0822.jpg,106,132,148,161,1
roadmark_0893.jpg,100,128,158,166,1
roadmark_0255.jpg,66,114,150,166,1
roadmark_0095.jpg,179,218,154,204,3
roadmark_0560.jpg,134,157,153,162,1
roadmark_1423.jpg,217,232,141,148,3
roadmark_0814.jpg,66,92,154,164,1
roadmark_0625.jpg,58,94,168,182,1
roadmark_0585.jpg,37,72,173,188,1
roadmark_0043.jpg,248,286,158,174,2
roadmark_0121.jpg,184,259,158,205,1
roadmark_0130.jpg,178,204,148,164,3
roadmark_1277.jpg,90,154,162,186,3
roadmark_1352.jpg,62,108,170,193,1
roadmark_0012.jpg,150,170,148,156,1
roadmark_1193.jpg,183,225,160,194,1
roadmark_0851.jpg,148,162,138,147,1
roadmark_0132.jpg,174,203,148,166,3
roadmark_0673.jpg,99,137,170,186,1
roadmark_1202.jpg,112,162,158,192,1
roadmark_0578.jpg,132,153,153,161,1
roadmark_0906.jpg,138,168,157,170,1
roadmark_0776.jpg,156,176,146,153,1
roadmark_0940.jpg,147,174,154,165,1
roadmark_0832.jpg,20,80,148,168,1
roadmark_0246.jpg,195,231,156,207,3
roadmark_0347.jpg,159,182,145,154,1
roadmark_0934.jpg,158,176,154,160,1
roadmark_0765.jpg,134,155,144,152,1
roadmark_0115.jpg,33,94,152,169,1
roadmark_0634.jpg,168,230,170,194,2
roadmark_0267.jpg,0,40,154,167,1
roadmark_0768.jpg,128,148,143,154,1
roadmark_0972.jpg,104,150,166,186,1
roadmark_0634.jpg,90,130,172,194,1
roadmark_0265.jpg,0,86,155,184,1
roadmark_0597.jpg,110,132,158,166,1
roadmark_0590.jpg,104,126,157,169,1
roadmark_1036.jpg,147,174,158,170,1
roadmark_1038.jpg,145,176,157,168,1
roadmark_0562.jpg,130,150,154,162,1
roadmark_0603.jpg,113,132,160,165,1
roadmark_0250.jpg,0,132,161,232,3
roadmark_1368.jpg,86,119,154,168,1
roadmark_1016.jpg,148,175,158,168,1
roadmark_0861.jpg,66,103,152,166,1
roadmark_0216.jpg,173,224,153,182,2
roadmark_0845.jpg,0,50,155,170,1
roadmark_1204.jpg,90,160,162,205,1
roadmark_0269.jpg,18,130,158,202,3
roadmark_0710.jpg,53,87,168,183,1
roadmark_0127.jpg,182,253,154,206,1
roadmark_1185.jpg,197,216,160,174,3
roadmark_1441.jpg,114,138,148,160,1
roadmark_0782.jpg,80,105,148,160,1
roadmark_0882.jpg,8,96,150,184,1
roadmark_0512.jpg,83,108,164,176,1
roadmark_0416.jpg,96,137,170,193,1
roadmark_0125.jpg,324,400,149,180,3
roadmark_0969.jpg,146,174,156,168,1
roadmark_0646.jpg,186,220,158,170,2
roadmark_1043.jpg,143,174,161,168,1
roadmark_0346.jpg,107,143,159,174,1
roadmark_0682.jpg,152,221,173,193,2
roadmark_0901.jpg,88,129,166,186,1
roadmark_0800.jpg,0,49,148,162,1
roadmark_1318.jpg,92,118,156,168,1
roadmark_0655.jpg,129,158,162,172,1
roadmark_0570.jpg,110,137,158,168,1
roadmark_0055.jpg,264,315,168,190,2
roadmark_0637.jpg,82,128,178,198,1
roadmark_0661.jpg,176,220,162,176,2
roadmark_0263.jpg,0,50,153,167,1
roadmark_0890.jpg,88,109,149,158,1
roadmark_0928.jpg,166,186,152,160,1
roadmark_1307.jpg,193,222,158,172,1
roadmark_0031.jpg,164,216,168,187,1
roadmark_0706.jpg,80,109,162,174,1
roadmark_0352.jpg,108,147,161,179,1
roadmark_0679.jpg,16,56,170,188,1
roadmark_0904.jpg,138,172,157,174,1
roadmark_1435.jpg,46,72,160,171,1
roadmark_0634.jpg,20,62,173,188,1
roadmark_1116.jpg,241,271,168,192,3
roadmark_0134.jpg,174,204,150,166,3
roadmark_0355.jpg,134,158,152,166,1
roadmark_1189.jpg,142,177,158,168,1
roadmark_0348.jpg,156,178,146,154,1
roadmark_0273.jpg,196,236,164,214,3
roadmark_0791.jpg,60,88,156,166,1
roadmark_0113.jpg,4,53,150,166,1
roadmark_0676.jpg,163,218,168,189,2
roadmark_0226.jpg,166,222,152,182,2
roadmark_0854.jpg,106,126,146,157,1
roadmark_0790.jpg,68,94,154,166,1
roadmark_0253.jpg,75,117,148,164,1
roadmark_0052.jpg,259,308,166,188,2
roadmark_0986.jpg,168,186,148,156,1
roadmark_1353.jpg,180,208,147,158,1
roadmark_0250.jpg,0,70,160,189,1
roadmark_0589.jpg,149,163,152,157,1
roadmark_0853.jpg,146,159,140,146,1
roadmark_0145.jpg,158,203,160,198,3
roadmark_0107.jpg,28,60,149,163,1
roadmark_0135.jpg,176,200,150,170,3
roadmark_1270.jpg,69,98,166,177,1
roadmark_1426.jpg,109,140,162,182,1
roadmark_1333.jpg,144,168,148,156,1
roadmark_1341.jpg,62,120,162,190,1
roadmark_0813.jpg,74,102,152,163,1
roadmark_0640.jpg,190,220,156,167,2
roadmark_0576.jpg,114,136,160,168,1
roadmark_0019.jpg,244,278,154,172,2
roadmark_0354.jpg,141,172,150,163,1
roadmark_1277.jpg,195,226,160,186,3
roadmark_1014.jpg,148,176,156,168,1
roadmark_1309.jpg,170,229,170,196,1
roadmark_0806.jpg,325,362,144,162,2
roadmark_0049.jpg,165,220,166,183,1
roadmark_0841.jpg,284,364,154,192,2
roadmark_0777.jpg,134,160,153,162,1
roadmark_0661.jpg,120,154,164,174,1
roadmark_0351.jpg,152,176,148,156,1
roadmark_1369.jpg,40,76,157,174,1
roadmark_1205.jpg,88,157,166,204,1
roadmark_0753.jpg,188,220,142,158,2
roadmark_1367.jpg,38,78,156,174,1
roadmark_0109.jpg,140,171,148,173,1
roadmark_0568.jpg,115,142,157,166,1
roadmark_0356.jpg,124,154,154,167,1
roadmark_0800.jpg,299,326,142,155,2
roadmark_0682.jpg,78,120,176,194,1
roadmark_0468.jpg,118,147,168,181,1
roadmark_0558.jpg,138,158,153,161,1
roadmark_0805.jpg,320,355,142,157,2
roadmark_0705.jpg,86,118,162,172,1
roadmark_1002.jpg,157,186,151,162,1
roadmark_0798.jpg,0,74,144,162,1
roadmark_0667.jpg,111,144,167,182,1
roadmark_0107.jpg,138,168,147,169,1
roadmark_0255.jpg,199,220,150,168,3
roadmark_0776.jpg,139,164,152,160,1
roadmark_0336.jpg,130,158,156,168,1
roadmark_1148.jpg,112,151,163,176,1
roadmark_0467.jpg,121,151,164,180,1
roadmark_0954.jpg,118,156,165,182,1
roadmark_0421.jpg,185,228,154,174,1
roadmark_0935.jpg,152,177,153,160,1
roadmark_0037.jpg,178,217,156,170,1
roadmark_1029.jpg,146,176,154,169,1
roadmark_0582.jpg,120,145,157,162,1
roadmark_1120.jpg,192,228,165,181,1
roadmark_0785.jpg,60,88,151,164,1
roadmark_0015.jpg,142,164,152,160,1
roadmark_0836.jpg,0,68,150,174,1
roadmark_0930.jpg,172,188,148,156,1
roadmark_0028.jpg,92,126,166,182,1
roadmark_0844.jpg,15,98,154,182,1
roadmark_1152.jpg,98,152,188,222,3
roadmark_1000.jpg,164,184,152,160,1
roadmark_1335.jpg,84,109,154,166,1
roadmark_1034.jpg,144,174,154,168,1
roadmark_0802.jpg,0,74,149,168,1
roadmark_1344.jpg,75,124,166,188,1
roadmark_0808.jpg,332,382,146,164,2
roadmark_1330.jpg,154,172,144,156,1
roadmark_0994.jpg,166,184,150,158,1
roadmark_0593.jpg,144,156,154,160,1
roadmark_0870.jpg,103,138,146,160,1
roadmark_0596.jpg,114,138,158,165,1
roadmark_0628.jpg,110,146,169,182,1
roadmark_0103.jpg,150,172,145,166,1
roadmark_0019.jpg,179,214,156,171,1
roadmark_0105.jpg,68,107,146,162,1
roadmark_1426.jpg,125,172,158,181,3
roadmark_1440.jpg,92,129,162,178,1
roadmark_0949.jpg,143,171,158,168,1
roadmark_0574.jpg,144,160,150,158,1
roadmark_0244.jpg,192,228,156,196,3
roadmark_0224.jpg,187,201,140,145,2
roadmark_0569.jpg,118,140,157,168,1
roadmark_0631.jpg,172,226,170,190,2
roadmark_0261.jpg,0,58,152,166,1
roadmark_0622.jpg,184,226,162,180,2
roadmark_0105.jpg,32,61,148,162,1
roadmark_0123.jpg,320,400,151,175,3
roadmark_1018.jpg,144,176,158,168,1
roadmark_0778.jpg,128,157,154,165,1
roadmark_0115.jpg,188,242,152,186,1
roadmark_0472.jpg,139,174,158,174,1
roadmark_0123.jpg,186,240,152,190,1
roadmark_1332.jpg,110,138,155,170,1
roadmark_0762.jpg,142,160,142,152,1
roadmark_1317.jpg,111,136,148,158,1
roadmark_0356.jpg,154,176,145,156,1
roadmark_0686.jpg,62,104,181,204,1
roadmark_0787.jpg,110,128,146,154,1
roadmark_1439.jpg,130,153,152,160,1
roadmark_1089.jpg,114,148,172,189,1
roadmark_0350.jpg,156,178,146,154,1
roadmark_0879.jpg,50,112,150,174,1
roadmark_0014.jpg,107,140,162,175,1
roadmark_1258.jpg,74,158,166,214,1
roadmark_1190.jpg,166,201,158,184,1
roadmark_0773.jpg,163,178,142,150,1
roadmark_0744.jpg,60,87,165,178,1
roadmark_0613.jpg,94,115,158,173,1
roadmark_0815.jpg,60,82,156,167,1
roadmark_0511.jpg,129,149,156,166,1
roadmark_1152.jpg,178,218,164,178,2
roadmark_0040.jpg,246,280,157,173,2
roadmark_0747.jpg,96,120,158,169,1
roadmark_0805.jpg,0,62,152,172,1
roadmark_1041.jpg,148,172,158,169,1
roadmark_0426.jpg,176,225,163,188,1
roadmark_0655.jpg,76,107,163,172,1
roadmark_0931.jpg,122,158,164,180,1
roadmark_0252.jpg,197,238,160,212,3
roadmark_0763.jpg,101,122,153,162,1
roadmark_0684.jpg,63,112,177,196,1
roadmark_0816.jpg,48,74,157,170,1
roadmark_0831.jpg,76,126,150,169,1
roadmark_0261.jpg,88,148,152,177,3
roadmark_0269.jpg,192,236,157,212,3
roadmark_0833.jpg,60,118,150,174,1
roadmark_0670.jpg,167,221,162,182,2
roadmark_1443.jpg,32,68,167,186,1
roadmark_0248.jpg,15,138,158,216,3
roadmark_0761.jpg,110,130,152,160,1
roadmark_1334.jpg,80,120,161,182,1
